x Q2 F2 STAT+SYST
1.3000e-01 5.0000e+02 3.4600e-01 1.6309e-03
1.8000e-01 5.0000e+02 2.9000e-01 9.6030e-04
2.5000e-01 5.0000e+02 2.5300e-01 -6.3500e-04
4.0000e-01 5.0000e+02 1.6500e-01 -3.4860e-04
1.3000e-02 6.5000e+02 8.7400e-01 -7.6140e-04
1.3000e-02 6.5000e+02 8.8000e-01 3.4040e-04
2.0000e-02 6.5000e+02 7.0900e-01 3.5100e-04
2.0000e-02 6.5000e+02 7.5300e-01 3.7250e-04
3.2000e-02 6.5000e+02 6.1700e-01 5.5350e-04
5.0000e-02 6.5000e+02 5.1200e-01 1.4336e-03
8.0000e-02 6.5000e+02 4.4600e-01 6.6900e-04
1.3000e-01 6.5000e+02 3.6300e-01 1.0192e-03
1.8000e-01 6.5000e+02 3.0200e-01 9.0900e-04
2.5000e-01 6.5000e+02 2.5100e-01 2.0160e-04
4.0000e-01 6.5000e+02 1.4400e-01 -1.3680e-03
6.5000e-01 6.5000e+02 2.2000e-02 -3.0140e-04
2.0000e-02 8.0000e+02 7.5100e-01 -1.1055e-03
2.0000e-02 8.0000e+02 7.6600e-01 6.7680e-04
3.2000e-02 8.0000e+02 6.4500e-01 5.7780e-04
5.0000e-02 8.0000e+02 5.1600e-01 1.3416e-03
8.0000e-02 8.0000e+02 4.4700e-01 1.4336e-03
1.3000e-01 8.0000e+02 3.6100e-01 6.1540e-04
1.8000e-01 8.0000e+02 3.2400e-01 8.7750e-04
2.5000e-01 8.0000e+02 2.5500e-01 6.9120e-04
4.0000e-01 8.0000e+02 1.2900e-01 -6.5000e-04
6.5000e-01 8.0000e+02 2.0000e-02 -1.4400e-04
2.0000e-02 1.0000e+03 7.6200e-01 -5.1660e-04
2.0000e-02 1.0000e+03 7.5600e-01 -2.1228e-03
3.2000e-02 1.0000e+03 6.4400e-01 -5.7330e-04
5.0000e-02 1.0000e+03 5.5700e-01 -1.6680e-04
8.0000e-02 1.0000e+03 4.4400e-01 1.1544e-03
1.3000e-01 1.0000e+03 3.9300e-01 1.5760e-04
1.8000e-01 1.0000e+03 3.2600e-01 7.8480e-04
2.5000e-01 1.0000e+03 2.5500e-01 8.4480e-04
4.0000e-01 1.0000e+03 1.2400e-01 -2.1250e-04
6.5000e-01 1.0000e+03 1.9000e-02 -1.3300e-05
2.0000e-02 1.2000e+03 8.2600e-01 0.0000e+00
3.2000e-02 1.2000e+03 6.0100e-01 5.3190e-04
3.2000e-02 1.2000e+03 6.6000e-01 -6.4900e-05
5.0000e-02 1.2000e+03 5.1900e-01 1.1352e-03
8.0000e-02 1.2000e+03 4.5300e-01 9.5130e-04
1.3000e-01 1.2000e+03 3.6600e-01 7.7280e-04
1.8000e-01 1.2000e+03 3.2600e-01 1.3776e-03
2.5000e-01 1.2000e+03 2.4700e-01 3.4720e-04
4.0000e-01 1.2000e+03 1.3600e-01 -2.6030e-04
6.5000e-01 1.2000e+03 2.1000e-02 -1.0710e-04
3.2000e-02 1.5000e+03 5.7500e-01 -2.7850e-04
3.2000e-02 1.5000e+03 6.3900e-01 0.0000e+00
5.0000e-02 1.5000e+03 5.6000e-01 3.8710e-04
8.0000e-02 1.5000e+03 4.4800e-01 9.3660e-04
1.3000e-01 1.5000e+03 3.4000e-01 5.7970e-04
1.8000e-01 1.5000e+03 3.1600e-01 3.4980e-04
2.5000e-01 1.5000e+03 2.5300e-01 4.0800e-04
4.0000e-01 1.5000e+03 1.2300e-01 2.8520e-04
6.5000e-01 1.5000e+03 1.3000e-02 -1.8590e-04
5.0000e-02 2.0000e+03 5.1000e-01 1.9840e-04
5.0000e-02 2.0000e+03 5.1600e-01 3.0180e-04
8.0000e-02 2.0000e+03 4.3700e-01 9.5260e-04
1.3000e-01 2.0000e+03 3.7000e-01 6.2900e-04
1.8000e-01 2.0000e+03 3.1400e-01 2.5280e-04
2.5000e-01 2.0000e+03 2.3600e-01 1.9120e-04
4.0000e-01 2.0000e+03 1.2600e-01 -1.2800e-05
6.5000e-01 2.0000e+03 2.1000e-02 3.9900e-05
5.0000e-02 3.0000e+03 5.8200e-01 -3.7800e-04
8.0000e-02 3.0000e+03 4.6100e-01 0.0000e+00
8.0000e-02 3.0000e+03 4.3200e-01 -1.6680e-04
1.3000e-01 3.0000e+03 3.4700e-01 7.5460e-04
1.8000e-01 3.0000e+03 3.0300e-01 2.7270e-04
2.5000e-01 3.0000e+03 2.1500e-01 2.3980e-04
4.0000e-01 3.0000e+03 1.1800e-01 2.6620e-04
6.5000e-01 3.0000e+03 1.6000e-02 -5.7600e-05
1.3000e-01 5.0000e+03 3.5300e-01 7.3040e-04
1.3000e-01 5.0000e+03 3.7200e-01 1.0500e-04
1.8000e-01 5.0000e+03 2.7100e-01 3.6960e-04
2.5000e-01 5.0000e+03 2.3500e-01 5.4050e-04
4.0000e-01 5.0000e+03 1.1700e-01 6.0000e-05
6.5000e-01 5.0000e+03 1.0000e-02 1.0600e-04
1.8000e-01 8.0000e+03 3.1100e-01 6.6480e-04
1.8000e-01 8.0000e+03 3.3600e-01 -8.9700e-05
2.5000e-01 8.0000e+03 2.4300e-01 2.5410e-04
2.5000e-01 8.0000e+03 2.1900e-01 8.3200e-05
4.0000e-01 8.0000e+03 1.0000e-01 -1.0100e-04
6.5000e-01 8.0000e+03 1.6000e-02 1.8700e-05
2.5000e-01 1.2000e+04 1.7900e-01 4.5000e-05
2.5000e-01 1.2000e+04 1.8300e-01 -2.0020e-04
4.0000e-01 1.2000e+04 7.6000e-02 -3.6500e-05
6.5000e-01 1.2000e+04 1.6000e-02 1.1730e-04
4.0000e-01 2.0000e+04 1.4600e-01 -5.9160e-04
4.0000e-01 2.0000e+04 5.9000e-02 -1.4100e-05
